Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
Chocolate Origin (Kallang Wave Mall),"['Belgian', 'Desserts', 'European', 'Halal', 'Western']",Belgian,Desserts,European,Cafe,#01-31 Kallang Wave Stadium Place 397628,"1 Stadium Pl, #01-31 Wave Mall, Singapore 397628",4.1,34.0
Chinese Cuisine Restaurant,['Chinese'],Chinese,,,Restaurant,  Balestier Road 329789,,,
10 Scotts,"['European', 'International', 'Western', 'Wine']",European,International,Western,Bar or Pub,Ground Floor Grand Hyatt Hotel Scotts Road 228211,"10 Scotts Rd, Grand Hyatt, Singapore 228211",4.2,166.0
BBQ Box,['Barbecue'],Barbecue,,,Restaurant, Nil Cheong Chin Nam Road 599746,,,
Xin Lu Fishball Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-74 Bendemeer Market And Food Centre Bendemeer Road 330029,"159 Mei Ling St, #02-05, Singapore 140159",4.2,41.0
Very Cheap Bak Kut Teh Kway Chap,['Chinese'],Chinese,,,Kiosk or Stall,#01-2863 Geylang Bahru Market and Food Centre Geylang Bahru 330069,"11 Telok Blangah Cres, Singapore 090011",,41.0
Tea Tree Cafe (Fusionopolis),['Drinks'],Drinks,,,Kiosk or Stall,#B1-11 Connexis Fusionopolis Way 138632,"1 Fusinopolis Way #B1-11, 1 Fusionopolis Connexis, 138632",3.9,7.0
SG Kitchen,"['Asian', 'Halal', 'Singaporean']",Asian,Halal,Singaporean,Restaurant,  Bukit Batok East Avenue 4 650273,,,
Nabins Experience Arabia,['Middle Eastern'],Middle Eastern,,,Restaurant, Kampong Glam Conservation Area Arab Street 199832,"32 Sultan Gate, Singapore 198480",3.4,5.0
Kia Xiang Du Du Mixed Kueh,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,Stall 13 Havelock Road Cooked Food Centre Havelock Road 162022,"22A Havelock Rd, #01-13 Havelock Road Cooked Food Centre, Singapore 161022",3.0,1.0
Tiong Shian Porridge Centre (Whampoa Drive),"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#01-973  Whampoa Drive 320082,"Block 82 Whampoa Dr, #01-973, Singapore 320082",3.9,137.0
Dong Cheng Soya Bean,"['Chinese', 'Desserts', 'Drinks']",Chinese,Desserts,Drinks,Kiosk or Stall,#02-30 Mei Chin Road Market Mei Chin Road 140159,"159 Mei Chin Rd, Singapore 140159",4.0,2.0
Pattaya Garden Restaurant,"['Asian', 'Halal', 'Indochinese', 'Thai']",Asian,Halal,Indochinese,Restaurant,  Changi Road 419723,"140 Changi Rd, Singapore 419723",3.9,84.0
Hua Jie,"['Desserts', 'Singaporean']",Desserts,Singaporean,,Kiosk or Stall, Boon Keng Market Upper Boon Keng Road 380017,,,
Ru Yi Vegetarian Food,['Vegetarian'],Vegetarian,,,Kiosk or Stall,#02-26 Tiong Bahru Market Seng Poh Road 168898,,,
69 Coffeeshop,['Drinks'],Drinks,,,Kiosk or Stall,01-69 Maxwell Food Centre Kadayanallur Street 069184,"69 Bedok South Ave 3, #01-498, Singapore 460069",3.9,85.0
Gallop Family Restaurant,['Chinese'],Chinese,,,Restaurant,  Havelock Road 169647,"725 Havelock Rd, Singapore Singapore Region, Singapore 169647",5.0,1.0
Waterfall Lounge,"['Beer', 'Cocktails', 'Drinks', 'Western', 'Wine']",Beer,Cocktails,Drinks,Bar or Pub, Furama Riverfront Singapore Havelock Road 169633,"405 Havelock Rd, Furama RiverFront, Singapore 169633",4.7,12.0
Sindy Durian,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-835  Whampoa Drive 320089,,,
555 Villa Thai,"['Steamboat', 'Thai']",Steamboat,Thai,,Restaurant,  Cosford Road 499550,"30 Cosford Rd, Singapore 499550",3.9,865.0
Cafe Gourmet,['Western'],Western,,,Cafe,#01-00 Uic Building Shenton Way 068808,,,
Xin Fu Ji,['Chinese'],Chinese,,,Kiosk or Stall,15 Pasir Panjang Food Centre Pasir Panjang Road 118543,Pasir Panjang Rd,3.4,7.0
Sun Coffee Planet (Zion Road),"['Asian', 'Local', 'Singaporean', 'Western']",Asian,Local,Singaporean,Cafe,  Zion Road 247779,"54 Zion Rd, Singapore 247779",,7.0
Baking Lab,"['Desserts', 'Snacks']",Desserts,Snacks,,Confectionery or Bakery,#01-258  Jurong West Street 41 640482,,,
He Ji Zhou,['Chinese'],Chinese,,,Kiosk or Stall,#01-45 Maxwell Food Centre Kadayanallur Street 069184,"1 Kadayanallur St, #01-02, Singapore 069184",4.0,1.0
