Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
So Nice,['Western'],Western,,,Cafe,#01-03 Liang Seah Court Liang Seah Street 189029,"8A Admiralty St, Singapore 757437",,16.0
Old Chang Kee (Buona Vista MRT Station),"['Asian', 'Halal', 'Local', 'Singaporean', 'Snacks']",Asian,Halal,Local,Kiosk or Stall,#01-08 Buona Vista MRT Station North Buona Vista Road 139345,"100 North Buona Vista Rd, #01-08, Singapore 139345",4.2,23.0
The Malayan Council (Dunlop Street),"['Asian', 'Fusion', 'Western']",Asian,Fusion,Western,Cafe, Little India Conservation Area Dunlop Street 209350,"22 Dunlop St, Singapore 209350",4.5,114.0
Yew Kee Fish Head Bee Hoon,['Chinese'],Chinese,,,Kiosk or Stall,#01-22 Ghim Moh Market and Food Centre Ghim Moh Road 270020,"20 Ghim Moh Rd, Singapore 270020",,114.0
Wee Nam Kee Chicken Rice (SingPost Centre),['Chinese'],Chinese,,,Restaurant,#B1-125 Singapore Post Centre Eunos Road 8 408600,"10 Eunos Rd 8, #B1-125 SingPost Centre, Singapore 408600",4.0,241.0
Seriously Keto,[None],,,,Confectionery or Bakery, Nil Seah Street 188388,"32 Seah St, Singapore 188388",4.1,48.0
Xin Kee Hainan Hot & Cold Drinks,['Drinks'],Drinks,,,Kiosk or Stall,#01-104 Old Airport Road Food Centre Old Airport Road 390051,"159 Old Airport Rd, Singapore 397970",4.0,7.0
Chowon Garden Korean Restaurant,"['Asian', 'Korean']",Asian,Korean,,Restaurant,#01-01  Peck Seah Street 079305,"2 Peck Seah St, Singapore 079305",3.9,188.0
Yu Kee Braised Duck Kway Chap,"['Asian', 'Chinese', 'Singaporean']",Asian,Chinese,Singaporean,Kiosk or Stall,#B1-85 to 87 & #B1-112 to 146 Parkway Parade Marine Parade Road 449269,,,
Gong Cha (Hougang Mall),"['Desserts', 'Drinks']",Desserts,Drinks,,Kiosk or Stall,#B1-14/15 Hougang Mall Hougang Avenue 10 538766,"90 Hougang Ave 10, #02-08, Singapore 538766",3.8,37.0
Sarawak Kolo Mee by 阿龍,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,  Lavender Street 338822,,,
Yunnan Original Ecology Hotpot,"['Chinese', 'Steamboat']",Chinese,Steamboat,,Restaurant, Beach Road Conservation Area Liang Seah Street 189047,"26 Liang Seah St, Singapore 189047",4.1,443.0
Sean Kee Braised Duck,['Asian'],Asian,,,Kiosk or Stall,659/ 661  Geylang Road 389589,"659-661Lor, Lor 35 Geylang, 389589",4.4,355.0
Prince Of Wales (Little India),"['Australian', 'Beer', 'Western', 'Wine']",Australian,Beer,Western,Bar or Pub,  Dunlop Street 209420,"101 Dunlop St, Singapore 209420",4.1,330.0
Lagoon Leng Kee Beef Kway Teow,['Chinese'],Chinese,,,Hawker,Stall 33 East Coast Lagoon Food Village East Coast Parkway 468960,"#01-33 East Coast Lagoon Food Village, Singapore 468960",3.1,7.0
The Dispensary,"['Drinks', 'Italian', 'Western']",Drinks,Italian,Western,Restaurant,#01-61 D'leedon Leedon Heights 266227,,,
Old Chang Kee (Far East Plaza),"['Asian', 'Halal', 'Local', 'Singaporean', 'Snacks']",Asian,Halal,Local,Kiosk or Stall,Kiosk 3 Far East Plaza Scotts Road 228213,"14D Scotts Rd, Kiosk 3, Singapore 228213",3.9,15.0
 (Closed) Lewin Terrace,"['Asian', 'European', 'French', 'Fusion', 'Japanese']",Asian,European,French,Restaurant,  Lewin Terrace 179290,"23B Coleman St, Singapore 179807",4.5,195.0
Xiang Kee stall,['Chinese'],Chinese,,,Kiosk or Stall,#01-37 Ghim Moh Market and Food Centre Ghim Moh Road 270020,,,
Chye Kee Goldhill Chicken,"['Asian', 'Local']",Asian,Local,,Coffee Shop,#01-151 Goldhill Shopping Centre Thomson Road 307606,"No. 151, Thomson Road, #01-151, Goldhill Shopping Centre, 307606, 307606",4.2,36.0
Sheng Fong Coffeeshop,"['Chinese', 'Fruits & Drinks', 'Local']",Chinese,Fruits & Drinks,Local,Coffee Shop,  Lengkok Bahru 150058,"10 Paya Lebar Rd, #B2-04, Singapore 409057",3.4,232.0
Sheng Kee Hainanese Chicken Rice,"['Asian', 'Chinese', 'Hainanese']",Asian,Chinese,Hainanese,Cafe,#01-3624  Bedok Reservoir Road 470704,"704 Bedok Reservoir Rd, Block 704, Singapore 470704",4.0,1.0
Yu Kee Duck Rice (Singpost Centre),['Chinese'],Chinese,,,Kiosk or Stall,B1-162/163 Heart Of God Church Eunos Road 8 408600,"10 Eunos Rd 8, #B1-162/163, Singapore 408600",3.4,14.0
Dutch Colony Coffee Co. (UE Square),"['Desserts', 'Drinks', 'Western']",Desserts,Drinks,Western,Cafe,#01-21 Ue Square Clemenceau Avenue 239917,"81 Clemenceau Ave, #01-21, Singapore 239917",4.4,193.0
Sin Kee Famous Chicken Rice,['Chinese'],Chinese,,,Kiosk or Stall,B1 TANGS at Tang Plaza Orchard Road 238864,,,
Xin Yuan Ji (Bugis),"['Asian', 'Cantonese', 'Chinese', 'Local', 'Singaporean']",Asian,Cantonese,Chinese,Restaurant,#01-01  Seah Street 188381,"31 Tan Quee Lan St, #01-01, Singapore 188117",4.2,934.0
Nam Kee Pau (Valley Point),"['Chinese', 'Malaysian']",Chinese,Malaysian,,Restaurant,#01-07/08 Valley Point River Valley Road 248371,"491 River Valley Rd, #01-07/08 Valley Point Shopping Centre, Singapore 248371",3.7,19.0
Old Chang Kee (Paragon Shopping Centre),"['Asian', 'Halal', 'Local', 'Singaporean', 'Snacks']",Asian,Halal,Local,Kiosk or Stall,#B1-10 Paragon Shopping Centre Orchard Road 238859,"290 Orchard Rd, #B1 - 10, Singapore 238859",3.5,18.0
Sakon Thai (Northpoint City),"['Seafood', 'Thai']",Seafood,Thai,,Restaurant,#01-129 Northpoint City Yishun Avenue 2 769098,"930 Yishun Ave 2, #01-129 Northpoint City, Singapore 769098",4.1,252.0
Papi’s Tacos,['Mexican'],Mexican,,,Restaurant,  Seah Street 188395,"39 Seah St, #01-01, Singapore 188395",4.4,422.0
B52 Cafe,"['Asian', 'Western']",Asian,Western,,Cafe,#03-07/44 Coronation Shopping Plaza Bukit Timah Road 269707,"587 Bukit Timah Road #03-07 Coronation Shopping Plaza, Bukit Timah Rd, 269707",4.0,9.0
New Rong Ge Liang Hong Kong Roast,"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Kiosk or Stall,#01-235  Queen Street 182269,"269B Queen St, Singapore 182269",4.1,133.0
D'angelo Pub,"['Beer', 'Cocktails', 'Drinks', 'Wine']",Beer,Cocktails,Drinks,Bar or Pub,  Lavender Street 338778,"229 Lavender St, Singapore 338778",3.8,50.0
Blackball (Clementi Mall),"['Desserts', 'Taiwanese']",Desserts,Taiwanese,,Cafe,#01-04 The Clementi Mall Commonwealth Avenue West 129588,"3155, 01-04 Commonwealth Ave W, Clementi Mall, 129588",3.8,58.0
You Ma You La (S-11 Food House),['Chinese'],Chinese,,,Kiosk or Stall, S-11 Food House Ang Mo Kio Avenue 3 569922,"598 Yishun Ring Rd, #B1–03 Wisteria Mall, Singapore 768698",4.3,30.0
Sushi Express (YewTee Point),['Japanese'],Japanese,,,Kiosk or Stall,#01-22/23/24 YewTee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, #01-22/23/24 YewTee Point, Singapore 689578",3.5,66.0
Mr Bean (Yew Tee Point),"['Desserts', 'Drinks', 'Snacks']",Desserts,Drinks,Snacks,Kiosk or Stall,#01-52/53 Yew Tee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, #01-52/53, Singapore 689578",3.0,23.0
Vegetarian Cooked Food,"['Chinese', 'Singaporean', 'Vegetarian']",Chinese,Singaporean,Vegetarian,Kiosk or Stall,#02-02 Hong Lim Food Centre Upper Cross Street 051531,,,
Yan Palace Restaurant (Hong Lim Complex),"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Restaurant,#01-49 Hong Lim Complex Upper Cross Street 050531,"Blk 531 Upper Cross Street #01-49 Hong Lim Complex, 050531",3.9,566.0
Authentic Sliced Fish Soup,['Chinese'],Chinese,,,Kiosk or Stall,#01-41 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,,,
McDonald's (iFly),"['American', 'Desserts', 'Halal', 'Snacks', 'Western']",American,Desserts,Halal,Fast Food Place,#01-04 iFly Siloso Beach Walk 099010,"43 Siloso Beach Walk, 099705",,
Dapur F.Faiz,"['Local', 'Malaysian']",Local,Malaysian,,Kiosk or Stall,#02-52 Hong Lim Food Centre Upper Cross Street 051531,"531A Upper Cross St, #02-51, Singapore 050531",4.3,3.0
Bee Cheng Hiang (Lot One Shoppers' Mall),['Snacks'],Snacks,,,Food Retailer,#B1-K11/12 Lot One Shoppers' Mall Choa Chu Kang Avenue 4 689812,"Lot 1 Shopper's Mall, 21 Choa Chu Kang Avenue 4 #B1 - K11, K12, 689812",3.9,7.0
Ajisen (AMK Hub),"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#02-19/20/21 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 3, Unit #02 - 19 / 20 / 21, Singapore 569933",3.9,125.0
Water Lilies Drinks,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-79 Ang Mo Kio Avenue 4 Block 628 Market & Food Centre Ang Mo Kio Avenue 4 560628,"628 Ang Mo Kio Ave 4, Singapore 560628",4.0,1.0
Dough Culture (AMK Hub),"['Asian', 'Chinese', 'Local', 'Singaporean', 'Snacks']",Asian,Chinese,Local,Confectionery or Bakery,#B2-24 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 3, Singapore 569933",3.9,40.0
Hao Xiang Seafood Steamboat,"['Chinese', 'Seafood']",Chinese,Seafood,,Kiosk or Stall,#01-1745  Ang Mo Kio Ave 3 560122,#01-31 Bukit Batok Street 33,2.6,9.0
Koi Cafe (Ang Mo Kio Central),"['Asian', 'Chinese', 'Fruits & Drinks', 'Taiwanese']",Asian,Chinese,Fruits & Drinks,Cafe,#01-2543  Ang Mo Kio Avenue 8 560703,"703 Ang Mo Kio Ave 8, #01-2543, Singapore 560703",3.9,86.0
Zhou Ji Wanton Noodle,['Chinese'],Chinese,,,Kiosk or Stall,#01-14 Market & Hawker Centre (blk 724 Ang Mo Kio Ave 6) Ang Mo Kio Avenue 6 560724,"724 Ang Mo Kio Ave 6, #01-14, Singapore 560724",3.6,8.0
Mr Bean (AMK Hub),"['Desserts', 'Drinks', 'Snacks']",Desserts,Drinks,Snacks,Kiosk or Stall,#01-19 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 3, #01-19, Hub 569933",3.2,24.0
Ho Kee Seafood,"['Chinese', 'Seafood', 'Zi Char']",Chinese,Seafood,Zi Char,Kiosk or Stall,#02-21 Hong Lim Food Centre Upper Cross Street 051531,"#02-21 HONG LIM FOOD CENTRE, Upper Cross St, 531A, 051531",4.3,7.0
Delifrance (Lot One Shoppers' Mall),"['French', 'Snacks']",French,Snacks,,Cafe,#03-K14A Lot One Shoppers' Mall Choa Chu Kang Avenue 4 689812,"21 Choa Chu Kang Ave 4, #03-K14A, Singapore 689814",4.0,107.0
Ya Kun Kaya Toast (YewTee Point),"['Local', 'Singaporean']",Local,Singaporean,,Cafe,#01-46/47/48 YewTee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6 #01-46/47, 48 Yew Tee Point, 689578",4.1,162.0
Xuan Wei HK Roasted Delights,"['Asian', 'Cantonese', 'Chinese', 'Hong Kong']",Asian,Cantonese,Chinese,Kiosk or Stall,#02-08 Hong Lim Food Centre Upper Cross Street 051531,"34 Cassia Cres, Singapore 390034",4.3,17.0
Happy Kampong Seafood (Tagore Lane),['Chinese'],Chinese,,,Restaurant,  Tagore Lane 787572,"164 Tagore Ln, Singapore 787572",4.0,391.0
Sang Hock Guan,"['Asian', 'Chinese', 'Snacks']",Asian,Chinese,Snacks,Food Retailer,#01-446  Ang Mo Kio Ave 4 560163,"HDB Ang Mo Kio #01-446, 163 Ang Mo Kio Avenue 4 (S)560163, 560163",4.1,17.0
Lao K Fish Soup,"['Chinese', 'Local']",Chinese,Local,,Kiosk or Stall,#02-23 Hong Lim Food Centre Upper Cross Street 051531,,,
Mrs. Plump’s,['Desserts'],Desserts,,,Confectionery or Bakery, Impact@hong Lim Green Upper Pickering Street 058284,"20 Upper Pickering St, Singapore 058284",4.9,35.0
Kecha (Yew Tee Point),"['Drinks', 'Taiwanese']",Drinks,Taiwanese,,Kiosk or Stall,#B1-41 Yewtee Point Choa Chu Kang North 6 689578,"Yew Tee Point, #B1-41, 21 Choa Chu Kang North 6, 689578",4.3,3.0
 (Under Renovation) Hong Kong Zhai House of Dim Sum (Ang Mo Kio),"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Kiosk or Stall,#01-74  Ang Mo Kio Avenue 4 560108,"3017 Bedok North Street 5, Singapore 486121",3.9,12.0
Yat Lok Roasted Delight (Choa Chu Kang),['Chinese'],Chinese,,,Kiosk or Stall,#01-05  Choa Chu Kang Avenue 1 680253,"Block, 253 Choa Chu Kang Ave 1, Singapore 680253",3.2,9.0
Makansutra Seafood Seeshore (Sentosa),"['Asian', 'Seafood']",Asian,Seafood,,Restaurant,  Palawan Beach Walk 099344,"72 Palawan Beach Walk, 099344",,9.0
MOS Burger (AMK Hub),"['Asian', 'Japanese', 'Western']",Asian,Japanese,Western,Fast Food Place,#01-33 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 3, #01-33, Singapore 569933",3.8,151.0
Takagi Ramen Shop (AMK),['Japanese'],Japanese,,,Kiosk or Stall,#01-01C AMK Ang Mo Kio Avenue 8 560721,"51 Ang Mo Kio Ave 3, #01-01C, Singapore 569922",,151.0
Stall #01-04 (Blk 724 Ang Mo Kio Food Centre),['Chinese'],Chinese,,,Kiosk or Stall,#01-04 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,,,
108 Fu Jian Xia Mian,['Chinese'],Chinese,,,Kiosk or Stall,#01-164  Ang Mo Kio Ave 4 560107,"107 Ang Mo Kio Ave 4, Singapore 560107",4.5,10.0
Mei Ming Taiwan Delicacy,['Taiwanese'],Taiwanese,,,Kiosk or Stall, Hdb-ang Mo Kio Ang Mo Kio Avenue 4 560159,"159 Ang Mo Kio Ave 4, Singapore 560159",2.0,1.0
Changi Village Hainanese Style Curry Rice,"['Chinese', 'Hainanese']",Chinese,Hainanese,,Kiosk or Stall,#01-44 Hong Lim Food Centre Upper Cross Street 051531,"3 Changi Village Rd, Singapore 500003",2.4,11.0
BBQ Friend,['Korean'],Korean,,,Restaurant,  Lim Tua Tow Road 547772,"22 Lim Tua Tow Rd, Singapore 547772",4.9,364.0
Nasi Lemak Mirin Cooked Food,"['Malaysian', 'Singaporean']",Malaysian,Singaporean,,Kiosk or Stall,#02-55 Hong Lim Food Centre Upper Cross Street 051531,,,
Thong Heng Porridge・Raw Fish・Ban Mian,['Chinese'],Chinese,,,Kiosk or Stall,  Ang Mo Kio Avenue 4 560159,"159 Ang Mo Kio Ave 4, Singapore 560159",5.0,3.0
Xi Xiang Feng,"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#01-23 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,"724 Ang Mo Kio Ave 6, #01-23, Singapore 560724",3.6,123.0
Dong Fang Hong Sotong Ball Seafood Soup,['Chinese'],Chinese,,,Kiosk or Stall,#01-47 Hong Lim Food Centre Upper Cross Street 051531,,,
Yu Kee Duck Rice (﻿ Yew Tee Point),['Chinese'],Chinese,,,Kiosk or Stall,#B1-17/22 Yewtee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, Singapore 689578",2.0,5.0
Kow Loon Hong Kong Dim Sum (Ang Mo Kio Avenue 5),"['Chinese', 'Dim Sum']",Chinese,Dim Sum,,Kiosk or Stall,#01-3030  Ang Mo Kio Avenue 5 560151,"#01-3030, 151 Ang Mo Kio Ave 5, block 151, 560151",3.3,245.0
Lay Ching Heong Tea Stall,['Drinks'],Drinks,,,Kiosk or Stall,#01-51 Hong Lim Food Centre Upper Cross Street 051531,,,
Centre Satay Bee Hoon (AMK),"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#01-12 Ang Mo Kio Central Food Centre Ang Mo Kio Avenue 6 560724,"724 Ang Mo Kio Ave 6 #01-12 Singapore 560724 Ang Mo Kio Ave 4, Singapore 560724",3.8,32.0
Good Taste,['Chinese'],Chinese,,,Restaurant,#01-4100  Ang Mo Kio Avenue 6 560720,,,
Encik Tan (Yew Tee Point),"['Chinese', 'Halal', 'Local']",Chinese,Halal,Local,Restaurant,#B1-28 Yew Tee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, #B1-28 Yew Tee Point, Singapore 689578",3.5,162.0
Hiap Hwa Coffee Shop,"['Asian', 'Chinese', 'Foochow']",Asian,Chinese,Foochow,Cafe,#01-2843  Ang Mo Kio Ave 8 560722,,,
Stickies Bar @Tagore Lane,"['Beer', 'Drinks', 'Western']",Beer,Drinks,Western,Bar or Pub,#05-07 EBC Lifestyle Hub Tagore Lane 787494,"50 Tagore Ln, #05-07 EBC Lifestyle Hub, Singapore 787494",4.2,219.0
J K Famous Roti Prata,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#01-719  Choa Chu Kang Ave 4 680302,,,
Lim Hai Sheng Cooked Food,['Chinese'],Chinese,,,Kiosk or Stall,#01-09 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,"724 Ang Mo Kio Ave 6, #01-09, Singapore 560724",3.4,45.0
Bee Kong Restaurant,['Chinese'],Chinese,,,Kiosk or Stall,#01-1255 Ang Mo Kio Industrial Park 2 Ang Mo Kio Industrial Park 2 569561,,,
Hong Chang Wanton Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-21 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,"724 Ang Mo Kio Ave 6, #01-21, Singapore 560724",3.7,7.0
Bak Chor Mee (51 @ Amk),"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,S-11 51 @ Amk Ang Mo Kio Avenue 3 569922,,,
Bengawan Solo (AMK Hub),"['Desserts', 'Snacks']",Desserts,Snacks,,Cafe,#B2-59 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 3, #B2-26, Singapore 569933",3.1,7.0
Sushi Deli (Yew Tee),"['Asian', 'Japanese']",Asian,Japanese,,Cafe,#B1-48 Yew Tee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, #B1-48 Yew Tee Point, Singapore 689578",3.0,7.0
Co + Nut + Ink (Palawan Beach Walk),['Desserts'],Desserts,,,Kiosk or Stall,  Palawan Beach Walk 099343,"40 Siloso Beach Walk, 098996",3.9,43.0
Tip Top The Puff Factory (Hiap Hwa Coffee Shop),"['Asian', 'Halal', 'Local', 'Singaporean', 'Snacks']",Asian,Halal,Local,Cafe,#01-2843 Hiap Hwa Coffee Shop Ang Mo Kio Avenue 8 560722,"61 Ang Mo Kio Ave 8, #01-03 Jubilee Square, Singapore 569814",3.7,109.0
Ah Lim Mee Pok You Mian Kway Teow Mee,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall, Soy Eu Tua Coffee Shop Upper East Coast Road 455207,"304 Bedok Rd, Singapore 469463",3.8,73.0
Eastern Rice Dumpling (YEWTEE POINT),"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#B1-45 Yew Tee Point Choa Chu Kang North 6 689578,21 Choa Chu Kang North 6,4.0,4.0
Akimitsu (AMK Hub),['Japanese'],Japanese,,,Restaurant,#B1-22 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 3, #B1-22, Singapore 569933",3.6,119.0
Good Old Days,"['Asian', 'Chinese', 'Hainanese', 'Halal', 'Singaporean']",Asian,Chinese,Hainanese,Restaurant,  Siloso Beach Walk 098997,"60 Siloso Beach Walk, 098997",3.6,685.0
Xu Yang Tonic Soup,"['Asian', 'Chinese']",Asian,Chinese,,Cafe,#01-4200  Ang Mo Kio Ave 6 560728,,,
Juices & Blends,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-63 Hong Lim Food Centre Upper Cross Street 051531,,,
Uncle Penyet (Ang Mo Kio),['Indochinese'],Indochinese,,,Kiosk or Stall,#01-4200 Mr Teh Tarik Eating House Ang Mo Kio Avenue 6 560728,"728 Ang Mo Kio Ave 6, Singapore 560728",4.1,44.0
SF Fruits & Juice (Yew Tee Point),"['Fruits & Drinks', 'Juices']",Fruits & Drinks,Juices,,Kiosk or Stall,#B1-46 Yewtee Point Choa Chu Kang North 6 689578,,,
Jiu Shi Ai Mian Bao,"['Local', 'Singaporean']",Local,Singaporean,,Confectionery or Bakery,#01-43 Market & Hawker Centre Ang Mo Kio Avenue 6 560724,,,
McDonald's (51 @ AMK),"['American', 'Desserts', 'Halal', 'Snacks', 'Western']",American,Desserts,Halal,Fast Food Place,#01-04 51 @ Amk Ang Mo Kio Avenue 3 569922,"51 Ang Mo Kio Ave 3, #01-04, 51@AMK 569922",,
Yi Dai Mian Bao,"['Singaporean', 'Snacks']",Singaporean,Snacks,,Kiosk or Stall,#01-48  Ang Mo Kio Avenue 6 560728,"628 Ang Mo Kio Ave 4, #01-47, 628 Market, Singapore 560628",,
Asam Tree Cafe Restaurants,"['Halal', 'Malaysian']",Halal,Malaysian,,Restaurant,#01-4056 HDB Ang Mo Kio Ang Mo Kio Avenue 6 560712,"Blk 712 #01, Ang Mo Kio Ave 6, 4056, 560712",3.6,119.0
Yingying Cafe,"['Chinese', 'Western']",Chinese,Western,,Kiosk or Stall,#01-910  Ang Mo Kio Avenue 4 560631,"Bukit Timah Rd, #01-331 Tekka Centre",,119.0
Happy Garden,['Chinese'],Chinese,,,Kiosk or Stall,#01-06 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,,,
Jin Song,['Chinese'],Chinese,,,Kiosk or Stall,#01-30 Blk 162 Ang Mo Kio Food Centre Ang Mo Kio Avenue 4 560162,,,
Cheng Mei Shi,['Chinese'],Chinese,,,Kiosk or Stall,#01-31  Ang Mo Kio Ave 6 560724,"48A Tanglin Halt Rd, #01-14, Singapore 148813",3.7,7.0
Ang Mo Kio 453 Wanton Noodle,['Chinese'],Chinese,,,Kiosk or Stall, Mayflower Market And Food Centre Ang Mo Kio Avenue 4 560162,"Blk, 162 Ang Mo Kio Ave 4, #01-28, 560162",3.8,56.0
Hanyong,"['Chinese', 'Korean']",Chinese,Korean,,Kiosk or Stall,#03-12 Ang Mo Kio Hub Ang Mo Kio Ave 3 569933,"53 Lentor St, Singapore 786776",,56.0
Yu Kee Duck And Noodle House (AMK Hub),"['Asian', 'Local', 'Singaporean']",Asian,Local,Singaporean,Cafe,#03-12 Ang Mo Kio Hub Ang Mo Kio Ave 3 569933,"53 Ang Mo Kio Ave 3, Ang Mo Kio Hub, Singapore 569933",1.0,1.0
Sakae Izakaya,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#01-03  Siloso Beach Walk 099000,"1 Sengkang Square, #04-06, Singapore 545078",3.7,166.0
Coffee Tribe,"['Chinese', 'Singaporean']",Chinese,Singaporean,,Cafe,#01-01A  Ang Mo Kio Avenue 3 569922,"15 Yishun Industrial Street 1, #01-20, Singapore 768091",4.5,76.0
Long John Silver's (Lot One Shoppers' Mall),"['American', 'Halal', 'Western']",American,Halal,Western,Fast Food Place,#B1-12/13 Lot One Shoppers' Mall Choa Chu Kang Avenue 4 689812,"21 Choa Chu Kang Ave 4, #B1 - 12 / 13, Singapore 689812",3.7,245.0
Yunos N Family,"['Asian', 'Malaysian', 'Seafood', 'Snacks']",Asian,Malaysian,Seafood,Kiosk or Stall,#01-01 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,"724 Ang Mo Kio Ave 6, Singapore 560724",4.4,237.0
Lee Kheong Roasted Delicacy,"['Cantonese', 'Chinese']",Cantonese,Chinese,,Kiosk or Stall,#02-47 Hong Lim Food Centre Upper Cross Street 051531,,,
LiHO (Yew Tee Point),"['Drinks', 'Juices', 'Singaporean']",Drinks,Juices,Singaporean,Kiosk or Stall,#B1-43 Yewtee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, #01-49/50, Singapore 689578",3.1,14.0
Cool Deck,"['Beer', 'Cocktails', 'Drinks', 'Wine']",Beer,Cocktails,Drinks,Bar or Pub, Sentosa Siloso Beach Walk 099002,,,
Star Army Stew,"['Korean', 'Steamboat']",Korean,Steamboat,,Kiosk or Stall,#01-74  Ang Mo Kio Avenue 4 560108,"108 Ang Mo Kio Ave 4, #01-74, Singapore 560108",3.2,31.0
Soi 19,"['Asian', 'Thai']",Asian,Thai,,Kiosk or Stall,#01-3030 Stall 5 7 Star Coffee Shop Ang Mo Kio Avenue 5 560151,,,
Buddy Hoagies (Djitsun Mall),"['Steak and Grills', 'Western']",Steak and Grills,Western,,Cafe,#01-08/09 Djitsun Mall Ang Mo Kio Central 2 569663,"5 Ang Mo Kio Central 2, #01-08/09 Djitsun Mall, Singapore 569663",4.2,339.0
Napolean Mookata,"['Steamboat', 'Thai']",Steamboat,Thai,,Kiosk or Stall, S-11 Coffeeshop Ang Mo Kio Avenue 8 560711,"711 Ang Mo Kio Ave 8, Singapore 560711",3.5,2.0
Swee Heng 1989 Classic (Lot One Shoppers' Mall),"['Desserts', 'Halal']",Desserts,Halal,,Confectionery or Bakery,#B1-02 Lot One Shoppers' Mall Choa Chu Kang Avenue 4 689812,"21 Choa Chu Kang Ave 4, #B1-02, Singapore 689812",,2.0
Bikini Bar,"['Beer', 'Cocktails', 'Western']",Beer,Cocktails,Western,Bar or Pub,#01-06  Siloso Beach Walk 099000,"50 Siloso Beach Walk, #01-01, 099000",4.3,526.0
Pho Street (Keat Hong Community Club),"['Asian', 'Snacks', 'Vietnamese']",Asian,Snacks,Vietnamese,Kiosk or Stall,#01-03 Keat Hong Community Club Choa Chu Kang Loop 689687,"2 Choa Chu Kang Loop, #01-03, Singapore 689687",4.4,234.0
Oscar Oscar,['Snacks'],Snacks,,,Confectionery or Bakery,#01-02 Sentosa Siloso Beach Walk 098997,,,
Wan Tan Kia (Yew Tee Point),['Chinese'],Chinese,,,Cafe,#01-07 Yewtee Point Choa Chu Kang North 6 689578,"21 Choa Chu Kang North 6, #01-07, Singapore 689578",3.7,17.0
Dunkin' Donuts (AMK Hub),"['Desserts', 'Snacks', 'Western']",Desserts,Snacks,Western,Cafe,#01-14/15/16 AMK Hub Ang Mo Kio Avenue 3 569933,"53 Ang Mo Kio Ave 8, #01-14 /15/16, Hub 569933",4.0,81.0
Coffee City,['Western'],Western,,,Cafe,#02-4200  Ang Mo Kio Ave 6 560728,"726 Ang Mo Kio Ave 6, Singapore 560726",,81.0
Trapizza,"['Italian', 'Pizza']",Italian,Pizza,,Restaurant, Sentosa Siloso Beach Walk 098995,"10 Siloso Beach Walk, 098995",4.2,992.0
Rock & Peri,['Western'],Western,,,Restaurant,- Hdb- Ang Mo Kio Ang Mo Kio Avenue 6 560728,,,
Club 48,"['Beer', 'Cocktails', 'Drinks', 'Wine']",Beer,Cocktails,Drinks,Bar or Pub,#01-01 PA Club House Ang Mo Kio Ave 8 568046,"48 Woodleigh Park, Singapore 357844",4.1,89.0
