Stall Name,Cuisine,Shop Type,Address
Holy Grill,"['American', 'Western']",Kiosk or Stall,#01-27 Old Airport Road Food Centre Old Airport Road 390051
Lao Ban Soya Beancurd (Old Airport Road),"['Asian', 'Chinese', 'Desserts', 'Fruits & Drinks']",Cafe,#01-127 Old Airport Road Hawker Centre Old Airport Road 390051
The Carvery (Temporarily Closed),"['Drinks', 'European', 'Modern European', 'Western']",Restaurant,Level 7 Park Hotel Alexandra Alexandra Road 159972
Sean Kee Braised Duck,['Asian'],Kiosk or Stall,659/ 661  Geylang Road 389589
Ali Shan Curry Fish Head,"['Chinese', 'Taiwanese']",Kiosk or Stall,#01-154 Old Airport Road Food Centre Old Airport Road 390051
Wang Wang Crispy Curry Puff,"['Local', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-126 Old Airport Road Food Centre Old Airport Road 390051
J&J Special Beef Noodles,"['Singaporean', 'Vietnamese']",Kiosk or Stall,#01-162 Old Airport Road Food Centre Old Airport Road 390051
Toa Payoh Rojak,"['Asian', 'Local', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-108 Old Airport Road Food Centre Old Airport Road 390051
Bedok Chwee Kueh (Lorong Ah Soo),"['Chinese', 'Snacks']",Kiosk or Stall,#02-45 Hainanese Village Centre Hougang Avenue 1 530105
To-Ricos Guo Shi/Blanco Court Food Centre (3rd Storey),"['Asian', 'Chinese', 'Local', 'Singaporean']",Kiosk or Stall,#01-135/36 Old Airport Road Food Centre Old Airport Road 390051
Bud of Joy,['Snacks'],Consumer Shop,#01-31  Circuit Road 370071
Ya Kun Family Cafe (Changi Airport T3),"['Asian', 'Local', 'Singaporean']",Cafe,#B2-LF3 Changi Airport Terminal 3 Airport Boulevard 819663
Fish Mart Sakuraya (West Coast Plaza),"['Asian', 'Japanese']",Groceries & Liquor,#B1-50 West Coast Plaza West Coast Road 127371
Hup Heng Cafe,"['Chinese', 'Desserts', 'Drinks', 'Snacks']",Kiosk or Stall,#02-11 80 Circuit Road Food Centre Circuit Road 370080
Hong Lik Restaurant,"['Asian', 'Chinese', 'Malaysian']",Restaurant,#01-35  Woodlands Link 738733
Freshly Made,['Chinese'],Kiosk or Stall,#01-155 Old Airport Road Food Centre Old Airport Road 390051
Little Vietnam,"['Asian', 'Beer', 'Indochinese', 'Vietnamese']",Bar or Pub,#01-25 Grandlink Sq Guillemard Road 399849
Long John Silver's (Northpoint City),"['American', 'Halal', 'Western']",Fast Food Place,#01-14 Northpoint City Yishun Avenue 2 769098
Chong Pang Old-time Flavor,[None],Kiosk or Stall,#01-79 Old Airport Road Food Centre Old Airport Road 390051
Bakes n Bites,"['Asian', 'Halal', 'Local', 'Singaporean', 'Western']",Cafe,#01-164  Old Airport Road 390051
Rasa Istimewa Woodlands Waterfront Restaurant,"['Halal', 'Seafood', 'Western']",Restaurant, Woodlands Waterfront Park Admiralty Road West 757445
Yi Pin Ju,"['Chinese', 'Sichuan']",Restaurant,  Macpherson Road 368220
The Manhattan Fish Market (Northpoint City),"['American', 'Halal', 'Seafood', 'Western']",Restaurant,#02-07 Northpoint City Yishun Avenue 2 769098
Lau Par Sat Taiwan Porridge,"['Chinese', 'Snacks']",Kiosk or Stall,#01-167 Old Airport Road Food Centre Old Airport Road 390051
Happy Crab,"['Asian', 'Chinese', 'Local', 'Seafood', 'Singaporean']",Restaurant, Geylang Conservation Area Geylang Road 389548
Westlake (Queen's Road),"['Asian', 'Chinese', 'Hokkien', 'Local', 'Singaporean']",Restaurant,#02-139  Queen's Road 260004
89 Carrot Cake,"['Chinese', 'Singaporean']",Kiosk or Stall,#01-102 Circuit Road Hawker Centre Circuit Road 370089
Dong Fang Jiao Zi,"['Chinese', 'Dongbei']",Restaurant, Geylang Conservation Area Geylang Road 389385
Jack's Kitchen,"['Fusion', 'Japanese', 'Snacks', 'Western']",Kiosk or Stall,#01-19 Old Airport Road Food Centre Old Airport Road 390051
The Manhattan Fish Market (Northpoint City),"['American', 'Halal', 'Seafood', 'Western']",Restaurant,#02-07 Northpoint City Yishun Avenue 2 769098
Nakhon Kitchen (West Sea Gardens),"['Asian', 'Indochinese', 'Thai']",Restaurant, West Sea Gardens Pasir Panjang Road 118510
Bud of Joy,['Snacks'],Consumer Shop,#01-31  Circuit Road 370071
Family Muslim Food Stall,"['Halal', 'Malaysian']",Kiosk or Stall,#01-69 Clementi Avenue 2 Market & Food Centre (u/c) Clementi Avenue 2 120353
Pasta Manna,"['Chinese', 'European', 'Italian', 'Western']",Kiosk or Stall,#01-84 Old Airport Road Food Centre Old Airport Road 390051
Tian Hai Yao,"['Asian', 'Chinese']",Kiosk or Stall,  Macpherson Road 368231
London Grill,"['Steak and Grills', 'Western']",Kiosk or Stall,#01-08 Old Airport Road Food Centre Old Airport Road 390051
West Co'z Cafe (West Coast Plaza),"['Chinese', 'Halal', 'Local', 'Singaporean', 'Thai']",Cafe,#02-23 West Coast Plaza West Coast Road 127371
Cai Chuan Tou Mutton Soup,"['Chinese', 'Local']",Kiosk or Stall,#01-51 Bukit Merah View Hawker Centre Bukit Merah View 151115
Albert Street Prawn Noodles (Old Airport Road Food Centre),"['Asian', 'Chinese', 'Hokkien']",Kiosk or Stall,#01-10 Old Airport Road Food Centre Old Airport Road 390051
L.32 Kopitiam,"['Asian', 'Chinese', 'Local', 'Singaporean']",Cafe,  Geylang Road 389509
Nam Sing Hokkien Fried Mee,"['Asian', 'Chinese', 'Hokkien', 'Local']",Kiosk or Stall,#01-32 Old Airport Road Food Centre Old Airport Road 390051
Johnson Duck (MacPherson),"['Asian', 'Chinese', 'Local']",Kiosk or Stall,  MacPherson Road 368239
Yue Yan Delicacies,['Local'],Confectionery or Bakery,#02-27 Food Xchange @ Admiralty Admiralty Street 757437
Ah Hoi's Kitchen,"['Chinese', 'Local', 'Seafood', 'Zi Char']",Restaurant,4F Hotel Jen Singapore Cuscaden Road 249716
Sofnade,"['Desserts', 'Snacks']",Kiosk or Stall,#06-37 Food Xchange @ Admiralty Admiralty Street 757437
Lorong Ah Soo Lor Mee,"['Asian', 'Chinese', 'Local']",Kiosk or Stall,#02-51 Hougang 105 Hainanese Village Food Centre Hougang Ave 1 530105
Dian Xiao Er (Northpoint City),"['Asian', 'Chinese']",Restaurant,#02-06 Northpoint City Yishun Avenue 2 769098
Depot Road Huang Ji Wanton Noodle,"['Chinese', 'Singaporean']",Kiosk or Stall,#01-84 Bukit Merah View Hawker Centre Bukit Merah View 151115
Chang Jiang Seafood Restaurant,"['Asian', 'Chinese', 'Seafood']",Restaurant,  Geylang Road 389353
Sean Kee Braised Duck,['Asian'],Kiosk or Stall,659/ 661  Geylang Road 389589
Galley by the Straits,"['Asian', 'Chinese', 'Seafood', 'Western']",Restaurant, Saf Yacht Club Admiralty Road West 759962
Tian Hai Yao,"['Asian', 'Chinese']",Kiosk or Stall,  Macpherson Road 368231
Circuit Road FC Muslim Food Stall,"['Chinese', 'Malaysian', 'Snacks']",Kiosk or Stall,#01-659 79/79A Circuit Road Food Centre Circuit Road 370079
