placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
40,Hong Leong Fresh Fruit Juice,"['Fruits & Drinks', 'Juices']",Fruits & Drinks,Juices,,Kiosk or Stall,#01-42 Jalan Batu Food Centre Jalan Batu 432004,"4A Jln Batu, #01-30 4A, Singapore 432004",5,1
41,Muka Mas,"['Chinese', 'Malaysian', 'Snacks']",Chinese,Malaysian,Snacks,Kiosk or Stall,#01-1650A Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"1650 Jalan Bukit Merah, Singapore 160112",,
42,Georges Hideout @ Seletar (Seletar),"['American', 'Beer', 'Western']",American,Beer,Western,Bar or Pub,#02-02 Jtc Aviation Two @ Seletar Aerospace Park West Camp Road 797523,"JTC Aviation 2 S797523, 690 W Camp Rd",4.2,56
43,Starbucks (The Seletar Mall),"['American', 'European', 'Western']",American,European,Western,Cafe,#01-15/16 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #01-15/16, Singapore 797653",4.2,212
44,Asian Foodmall,['Asian'],Asian,,,Cafe,#03-06  Jalan Kilang Timor 159308,"304 Orchard Rd, Singapore 238863",4.2,603
45,Kim's Fried Hokkien Prawn Mee (Jalan Eunos),"['Asian', 'Chinese', 'Hokkien', 'Local', 'Singaporean']",Asian,Chinese,Hokkien,Cafe,  Jalan Eunos 419510,"62B Jln Eunos, Singapore 419510",3.9,664
46,Hawkerman (The Seletar Mall),"['Asian', 'Halal', 'Local', 'Singaporean']",Asian,Halal,Local,Restaurant,#02-14/15/16 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #02-14/15/16, Singapore 797653",4.2,66
47,McDonald's (The Seletar Mall),"['American', 'Desserts', 'Halal', 'Snacks', 'Western']",American,Desserts,Halal,Fast Food Place,#01-04/05/06 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #01-04/05/06 The Seletar Mall, Singapore 797653",4.1,857
48,Wheeler's Estate,"['Steak and Grills', 'Western']",Steak and Grills,Western,,Bar or Pub, The Oval @ Sap Park Lane 798386,"2 Park Lane Singapore 798386 Park Ln, Singapore 798386",,
49,Pacific Fruit Stall,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-117 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-117, Singapore 150006",,
50,Sabar Menanti II,"['Asian', 'Halal', 'Indonesian', 'Malaysian']",Asian,Halal,Indonesian,Kiosk or Stall,  North Bridge Road (at the junction of Jalan Kledek) 198715,"737 North Bridge Rd, Singapore 198715",4.5,137
51,Canadian Pizza Dine-In Cafe,"['European', 'Halal', 'Italian', 'Pizza', 'Western']",European,Halal,Italian,Cafe, Jalan Kayu Estate Jalan Kayu 799472,"67 Brighton Cres, Singapore 559212",4.2,11
52,Porta Porta (Jalan Pari Burong),"['European', 'Italian', 'Western']",European,Italian,Western,Restaurant,  Jalan Pari Burong 488698,"No. 32 Jln Pari Burong, Singapore 488698",4.4,232
53,Nine Fresh (Seletar Mall),"['Asian', 'Chinese', 'Desserts', 'Taiwanese']",Asian,Chinese,Desserts,Cafe,#B1-K3 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-K3, Singapore 797653",4.2,47
54,Jane’s Cake Station,['Desserts'],Desserts,,,Confectionery or Bakery, Jalan Kayu Estate Jalan Kayu 799493,"265 Jln Kayu, Singapore 799493",4.4,52
55,Fish Mart Sakuraya (The Seletar Mall),"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#02-01 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #02-01 The Seletar Mall, Singapore 797653",3.7,94
56,Dandelion Cafe,['Western'],Western,,,Cafe,#01-5148  Jalan Bukit Merah 150002,"2 Jalan Bukit Merah, #01-5148, Singapore 150002",4.6,349
57,He Zhong Coffee Shop,"['Drinks', 'Snacks']",Drinks,Snacks,,Kiosk or Stall,#01-35 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-35 ABC Brickworks Market and Food Centre, Singapore 150006",,
58,Seletar Terrace,"['Asian', 'Chinese', 'Local', 'Singaporean', 'Western']",Asian,Chinese,Local,Cafe, Seletar Country Club Seletar Club Road 798273,,,
59,Capstan,"['Desserts', 'Indian', 'North Indian', 'South Indian', 'Vegetarian']",Desserts,Indian,North Indian,Restaurant,  Desker Road 209549,"2 Desker Rd, Singapore 209549",,
